,Class,Accuracy,Top 5 Accuracy,F1 score,Precision,Recall,Specificity
647,measuring cup,tensor(0.7428),0.84,0.7128714,0.7058824,0.72,0.9996997
648,"medicine chest, medicine cabinet",tensor(0.7428),0.92,0.61403507,0.546875,0.7,0.9994194
649,"megalith, megalithic structure",tensor(0.7428),0.92,0.8842105,0.93333334,0.84,0.9999399
650,"microphone, mike",tensor(0.7428),0.74,0.5681818,0.65789473,0.5,0.99973977
651,"microwave, microwave oven",tensor(0.7428),0.78,0.61176467,0.74285716,0.52,0.9998198
652,military uniform,tensor(0.7428),0.8,0.6666667,0.6956522,0.64,0.99971974
653,milk can,tensor(0.7428),0.86,0.74509805,0.7307692,0.76,0.99971974
654,minibus,tensor(0.7428),0.98,0.7,0.6,0.84,0.9994394
655,"miniskirt, mini",tensor(0.7428),0.8,0.57692313,0.5555556,0.6,0.9995195
656,minivan,tensor(0.7428),0.86,0.6136364,0.7105263,0.54,0.99977976
657,missile,tensor(0.7428),0.88,0.50909096,0.46666667,0.56,0.99935937
658,mitten,tensor(0.7428),0.9,0.7592593,0.70689654,0.82,0.99965966
659,mixing bowl,tensor(0.7428),0.96,0.7850467,0.7368421,0.84,0.9996997
660,"mobile home, manufactured home",tensor(0.7428),0.82,0.6464646,0.6530612,0.64,0.99965966
661,Model T,tensor(0.7428),0.98,0.8761905,0.8363636,0.92,0.9998198
662,modem,tensor(0.7428),0.92,0.66,0.66,0.66,0.99965966
663,monastery,tensor(0.7428),0.9,0.49541286,0.45762712,0.54,0.99935937
664,monitor,tensor(0.7428),0.9,0.29629627,0.38709676,0.24,0.9996196
665,moped,tensor(0.7428),0.96,0.7191011,0.82051283,0.64,0.99985987
666,mortar,tensor(0.7428),0.94,0.81553394,0.7924528,0.84,0.99977976
667,mortarboard,tensor(0.7428),0.92,0.6511628,0.7777778,0.56,0.99983984
668,mosque,tensor(0.7428),1.0,0.8598131,0.80701756,0.92,0.99977976
669,mosquito net,tensor(0.7428),1.0,0.8712871,0.8627451,0.88,0.99985987
670,"motor scooter, scooter",tensor(0.7428),1.0,0.84,0.84,0.84,0.99983984
671,"mountain bike, all-terrain bike, off-roader",tensor(0.7428),0.92,0.7049181,0.5972222,0.86,0.9994194
672,mountain tent,tensor(0.7428),0.98,0.92307687,0.8888889,0.96,0.9998799
673,"mouse, computer mouse",tensor(0.7428),0.82,0.48717952,0.6785714,0.38,0.9998198
674,mousetrap,tensor(0.7428),0.92,0.677686,0.57746476,0.82,0.9993994
675,moving van,tensor(0.7428),0.88,0.6966292,0.7948718,0.62,0.99983984
676,muzzle,tensor(0.7428),0.76,0.65,0.8666667,0.52,0.9999199
677,nail,tensor(0.7428),0.76,0.6595745,0.70454544,0.62,0.99973977
678,neck brace,tensor(0.7428),0.84,0.59405947,0.5882353,0.6,0.9995796
679,necklace,tensor(0.7428),1.0,0.7213115,0.6111111,0.88,0.9994394
680,nipple,tensor(0.7428),0.94,0.7368421,0.65625,0.84,0.9995596
681,"notebook, notebook computer",tensor(0.7428),0.82,0.21276596,0.22727273,0.2,0.9993193
682,obelisk,tensor(0.7428),0.94,0.8039216,0.78846157,0.82,0.99977976
683,"oboe, hautboy, hautbois",tensor(0.7428),0.9,0.6938775,0.7083333,0.68,0.99971974
684,"ocarina, sweet potato",tensor(0.7428),0.9,0.8118812,0.8039216,0.82,0.9997998
685,"odometer, hodometer, mileometer, milometer",tensor(0.7428),1.0,0.98,0.98,0.98,0.99998
686,oil filter,tensor(0.7428),0.92,0.7307693,0.7037037,0.76,0.9996797
687,"organ, pipe organ",tensor(0.7428),0.94,0.8842105,0.93333334,0.84,0.9999399
688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",tensor(0.7428),0.98,0.8571428,0.7741935,0.96,0.99971974
689,overskirt,tensor(0.7428),0.84,0.39175257,0.40425533,0.38,0.9994394
690,oxcart,tensor(0.7428),0.98,0.69767445,0.56962025,0.9,0.9993193
691,oxygen mask,tensor(0.7428),0.9,0.58181816,0.53333336,0.64,0.9994394
692,packet,tensor(0.7428),0.86,0.4705882,0.37209302,0.64,0.9989189
693,"paddle, boat paddle",tensor(0.7428),0.92,0.6292135,0.71794873,0.56,0.99977976
694,"paddlewheel, paddle wheel",tensor(0.7428),0.96,0.90909094,0.9183673,0.9,0.9999199
695,padlock,tensor(0.7428),0.92,0.75,0.7826087,0.72,0.9997998
696,paintbrush,tensor(0.7428),0.88,0.79999995,0.84444445,0.76,0.99985987
697,"pajama, pyjama, pj's, jammies",tensor(0.7428),0.96,0.65546215,0.5652174,0.78,0.9993994
698,palace,tensor(0.7428),1.0,0.6046511,0.49367088,0.78,0.9991992
699,"panpipe, pandean pipe, syrinx",tensor(0.7428),0.86,0.82474226,0.85106385,0.8,0.99985987
700,paper towel,tensor(0.7428),0.86,0.6813187,0.75609756,0.62,0.9997998
701,"parachute, chute",tensor(0.7428),0.94,0.8598131,0.80701756,0.92,0.99977976
702,"parallel bars, bars",tensor(0.7428),1.0,0.69724774,0.6440678,0.76,0.9995796
703,park bench,tensor(0.7428),0.9,0.6981132,0.66071427,0.74,0.9996196
704,parking meter,tensor(0.7428),0.94,0.86,0.86,0.86,0.99985987
705,"passenger car, coach, carriage",tensor(0.7428),0.86,0.6097561,0.78125,0.5,0.99985987
706,"patio, terrace",tensor(0.7428),0.78,0.5121951,0.65625,0.42,0.99977976
707,"pay-phone, pay-station",tensor(0.7428),0.92,0.81632656,0.8333333,0.8,0.99983984
708,"pedestal, plinth, footstall",tensor(0.7428),0.94,0.58695656,0.64285713,0.54,0.9996997
709,"pencil box, pencil case",tensor(0.7428),0.92,0.6,0.675,0.54,0.99973977
710,pencil sharpener,tensor(0.7428),0.78,0.5106383,0.54545456,0.48,0.9995996
711,"perfume, essence",tensor(0.7428),0.96,0.6930693,0.6862745,0.7,0.9996797
712,Petri dish,tensor(0.7428),0.92,0.75247526,0.74509805,0.76,0.99973977
713,photocopier,tensor(0.7428),1.0,0.7328245,0.5925926,0.96,0.99933934
714,"pick, plectrum, plectron",tensor(0.7428),0.9,0.8041237,0.82978725,0.78,0.99983984
715,pickelhaube,tensor(0.7428),0.92,0.8118812,0.8039216,0.82,0.9997998
716,"picket fence, paling",tensor(0.7428),0.96,0.82,0.82,0.82,0.9998198
717,"pickup, pickup truck",tensor(0.7428),0.9,0.7333333,0.825,0.66,0.99985987
718,pier,tensor(0.7428),0.86,0.5046729,0.47368422,0.54,0.9993994
719,"piggy bank, penny bank",tensor(0.7428),0.94,0.84905666,0.8035714,0.9,0.99977976
720,pill bottle,tensor(0.7428),0.92,0.754717,0.71428573,0.8,0.9996797
721,pillow,tensor(0.7428),0.88,0.8131868,0.902439,0.74,0.9999199
722,ping-pong ball,tensor(0.7428),0.9,0.8118812,0.8039216,0.82,0.9997998
723,pinwheel,tensor(0.7428),0.9,0.8118812,0.8039216,0.82,0.9997998
724,"pirate, pirate ship",tensor(0.7428),0.92,0.795699,0.8604651,0.74,0.9998799
725,"pitcher, ewer",tensor(0.7428),0.8,0.47058824,0.5714286,0.4,0.9996997
726,"plane, carpenter's plane, woodworking plane",tensor(0.7428),0.98,0.8910891,0.88235295,0.9,0.9998799
727,planetarium,tensor(0.7428),1.0,0.91588783,0.8596491,0.98,0.99983984
728,plastic bag,tensor(0.7428),0.64,0.43956047,0.4878049,0.4,0.9995796
729,plate rack,tensor(0.7428),0.88,0.7422681,0.7659575,0.72,0.99977976
730,"plow, plough",tensor(0.7428),0.9,0.7628866,0.78723407,0.74,0.9997998
731,"plunger, plumber's helper",tensor(0.7428),0.66,0.5048543,0.49056605,0.52,0.99945945
732,"Polaroid camera, Polaroid Land camera",tensor(0.7428),0.88,0.78846157,0.7592593,0.82,0.99973977
733,pole,tensor(0.7428),0.86,0.42857143,0.4375,0.42,0.99945945
734,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",tensor(0.7428),0.98,0.74766356,0.7017544,0.8,0.99965966
735,poncho,tensor(0.7428),0.9,0.67256635,0.6031746,0.76,0.9994995
736,"pool table, billiard table, snooker table",tensor(0.7428),0.9,0.84,0.84,0.84,0.99983984
737,"pop bottle, soda bottle",tensor(0.7428),0.92,0.6451613,0.6976744,0.6,0.99973977
738,"pot, flowerpot",tensor(0.7428),0.96,0.703125,0.5769231,0.9,0.99933934
739,potter's wheel,tensor(0.7428),0.98,0.71875,0.5897436,0.92,0.99935937
740,power drill,tensor(0.7428),0.68,0.6233766,0.8888889,0.48,0.9999399
741,"prayer rug, prayer mat",tensor(0.7428),0.88,0.76404494,0.8717949,0.68,0.9998999
742,printer,tensor(0.7428),0.84,0.4878049,0.625,0.4,0.99975973
743,"prison, prison house",tensor(0.7428),0.98,0.631579,0.5625,0.72,0.9994394
744,"projectile, missile",tensor(0.7428),0.86,0.19718309,0.33333334,0.14,0.99971974
745,projector,tensor(0.7428),0.84,0.67326736,0.6666667,0.68,0.99965966
746,"puck, hockey puck",tensor(0.7428),0.96,0.8761905,0.8363636,0.92,0.9998198
747,"punching bag, punch bag, punching ball, punchball",tensor(0.7428),0.88,0.6736842,0.7111111,0.64,0.99973977
748,purse,tensor(0.7428),0.88,0.44444442,0.3880597,0.52,0.9991792
749,"quill, quill pen",tensor(0.7428),0.94,0.8076922,0.7777778,0.84,0.99975973
750,"quilt, comforter, comfort, puff",tensor(0.7428),0.94,0.5531915,0.59090906,0.52,0.99963963
751,"racer, race car, racing car",tensor(0.7428),0.96,0.65546215,0.5652174,0.78,0.9993994
752,"racket, racquet",tensor(0.7428),0.94,0.78095245,0.74545455,0.82,0.99971974
753,radiator,tensor(0.7428),0.92,0.8,0.9,0.72,0.9999199
754,"radio, wireless",tensor(0.7428),0.88,0.44155845,0.6296296,0.34,0.9997998
755,"radio telescope, radio reflector",tensor(0.7428),0.96,0.8932039,0.8679245,0.92,0.99985987
756,rain barrel,tensor(0.7428),0.96,0.7962963,0.7413793,0.86,0.9996997
757,"recreational vehicle, RV, R.V.",tensor(0.7428),0.94,0.8484848,0.85714287,0.84,0.99985987
758,reel,tensor(0.7428),0.78,0.77272725,0.8947368,0.68,0.9999199
759,reflex camera,tensor(0.7428),0.9,0.7058824,0.6923077,0.72,0.9996797
760,"refrigerator, icebox",tensor(0.7428),0.94,0.8349515,0.8113208,0.86,0.9997998
761,"remote control, remote",tensor(0.7428),0.92,0.8653845,0.8333333,0.9,0.9998198
762,"restaurant, eating house, eating place, eatery",tensor(0.7428),0.72,0.44067797,0.38235295,0.52,0.99915916
763,"revolver, six-gun, six-shooter",tensor(0.7428),1.0,0.8737864,0.8490566,0.9,0.99983984
764,rifle,tensor(0.7428),0.76,0.4578313,0.57575756,0.38,0.99971974
765,"rocking chair, rocker",tensor(0.7428),0.86,0.72549015,0.71153843,0.74,0.9996997
766,rotisserie,tensor(0.7428),0.96,0.82568806,0.7627119,0.9,0.99971974
767,"rubber eraser, rubber, pencil eraser",tensor(0.7428),0.8,0.45614034,0.40625,0.52,0.99923927
768,rugby ball,tensor(0.7428),0.94,0.8125,0.84782606,0.78,0.99985987
769,"rule, ruler",tensor(0.7428),0.82,0.71999997,0.72,0.72,0.99971974
770,running shoe,tensor(0.7428),0.92,0.8602151,0.9302326,0.8,0.9999399
771,safe,tensor(0.7428),0.94,0.86,0.86,0.86,0.99985987
772,safety pin,tensor(0.7428),0.66,0.6585367,0.84375,0.54,0.9998999
773,"saltshaker, salt shaker",tensor(0.7428),0.94,0.7234042,0.77272725,0.68,0.9997998
774,sandal,tensor(0.7428),0.84,0.7216495,0.7446808,0.7,0.99975973
775,sarong,tensor(0.7428),0.8,0.6185567,0.63829786,0.6,0.99965966
776,"sax, saxophone",tensor(0.7428),0.84,0.7209302,0.8611111,0.62,0.9998999
777,scabbard,tensor(0.7428),0.96,0.74509805,0.7307692,0.76,0.99971974
778,"scale, weighing machine",tensor(0.7428),0.84,0.73809516,0.9117647,0.62,0.9999399
779,school bus,tensor(0.7428),1.0,0.8712871,0.8627451,0.88,0.99985987
780,schooner,tensor(0.7428),0.96,0.8,0.76363635,0.84,0.99973977
781,scoreboard,tensor(0.7428),1.0,0.8761905,0.8363636,0.92,0.9998198
782,"screen, CRT screen",tensor(0.7428),0.76,0.25974026,0.37037036,0.2,0.99965966
783,screw,tensor(0.7428),0.96,0.8571428,0.8181818,0.9,0.9997998
784,screwdriver,tensor(0.7428),0.58,0.44705883,0.54285717,0.38,0.9996797
785,"seat belt, seatbelt",tensor(0.7428),0.94,0.83018863,0.78571427,0.88,0.99975973
